codeId,code,id,name,source,version
54,54,anIPTEXeJd0itBwB0O12rSg,Controller 54 - Diagnostic systems,SourceJ1708Id,0000000000000038
55,55,aZ6y7K39N-02K7PVdP8w7iA,Controller 55 - Diagnostic systems,SourceJ1708Id,0000000000000039
56,56,apKyPxjmavUKgq2mlpNujQQ,Controller 56 - Trip recorder,SourceJ1708Id,000000000000003a
57,57,afHMHT7ZsjEi7BZ0ZuvQVhA,Controller 57 - Trip recorder,SourceJ1708Id,000000000000003b
58,58,avzWFqGD3IEe7SPJT5INkMQ,Controller 58 - Trip recorder,SourceJ1708Id,000000000000003c
59,59,aOgwF6d8bv0WBWlhNivKbTQ,Controller 59 - Trip recorder,SourceJ1708Id,000000000000003d
60,60,a996bm6pSUEWa8EEW-OQ3eA,Controller 60 - Trip recorder,SourceJ1708Id,000000000000003e
61,61,aNhipHOVbqkCoFSPuTsxSIg,Controller 61 - Trip recorder,SourceJ1708Id,000000000000003f
62,62,aZiwenpf9c0q4Pm0ShJWn2g,Controller 62 - Turbocharger,SourceJ1708Id,0000000000000040
63,63,a0TdHWEHn7Uilnaw3YbOEnA,Controller 63 - Turbocharger,SourceJ1708Id,0000000000000041
64,64,anHBbjA3yk0uBnv0hFP9Y3Q,Controller 64 - Off-board diagnostics,SourceJ1708Id,0000000000000042
65,65,a-CrXUlvYz06aUage84v89A,Controller 65 - Off-board diagnostics,SourceJ1708Id,0000000000000043
66,66,aKue1bQ7RokK0-goSAHaDvw,Controller 66 - Off-board diagnostics,SourceJ1708Id,0000000000000044
67,67,ag6m5O0NIRECOtDg4Ey5OtA,Controller 67 - Off-board diagnostics,SourceJ1708Id,0000000000000045
68,68,a-R5Dby7KEUyE5VHfaT7jEw,Controller 68 - Off-board diagnostics,SourceJ1708Id,0000000000000046
128,128,ControllerJ1708EngineId,Controller 128 - Engine #1,SourceJ1708Id,0000000000000047
129,129,ControllerJ1708TurbochargerId,Controller 129 - Turbocharger,SourceJ1708Id,0000000000000048
130,130,ControllerTransmissionId,Controller 130 - Transmission,SourceJ1708Id,0000000000000049
131,131,ControllerJ1708PowerTakeoffId,Controller 131 - Power takeoff,SourceJ1708Id,000000000000004a
132,132,ControllerAxlePowerUnitId,Controller 132 - Axle power unit,SourceJ1708Id,000000000000004b
133,133,ControllerAxleTrailerId,Controller 133 - Axle trailer,SourceJ1708Id,000000000000004c
136,136,ControllerBrakesPowerUnitId,Controller 136 - Brakes power unit,SourceJ1708Id,000000000000004d
137,137,ControllerBrakesTrailerNo1Id,Controller 137 - Brakes trailer #1,SourceJ1708Id,000000000000004e
138,138,ControllerBrakesTrailerNo2Id,Controller 138 - Brakes trailer #2,SourceJ1708Id,000000000000004f
139,139,ControllerBrakesTrailerNo3Id,Controller 139 - Brakes trailer #3,SourceJ1708Id,0000000000000050
140,140,ControllerInstrumentClusterId,Controller 140 - Instrument cluster,SourceJ1708Id,0000000000000051
141,141,ControllerJ1708TripRecorderId,Controller 141 - Trip recorder,SourceJ1708Id,0000000000000052
142,142,ControllerVehicleManagementSystemId,Controller 142 - Vehicle management system,SourceJ1708Id,0000000000000053
143,143,ControllerJ1708FuelSystemId,Controller 143 - Fuel system,SourceJ1708Id,0000000000000054
144,144,ControllerJ1708CruiseControlId,Controller 144 - Cruise control,SourceJ1708Id,0000000000000055
145,145,ControllerRoadSpeedIndicatorId,Controller 145 - Road speed indicator,SourceJ1708Id,0000000000000056
146,146,ControllerCabClimateControlId,Controller 146 - Cab climate control,SourceJ1708Id,0000000000000057
147,147,ControllerCargoRefrigerationHeatingTrailerId,Controller 147-Cargo refrigeration/heating trailer,SourceJ1708Id,0000000000000058
150,150,ControllerSuspensionPowerUnitId,Controller 150 - Suspension power unit,SourceJ1708Id,0000000000000059
151,151,ControllerSuspensionTrailerId,Controller 151 - Suspension trailer,SourceJ1708Id,000000000000005a
154,154,ControllerDiagnosticSystemsPowerUnitId,Controller 154 - Diagnostic systems power unit,SourceJ1708Id,000000000000005b
155,155,ControllerDiagnosticSystemsTrailerId,Controller 155 - Diagnostic systems trailer,SourceJ1708Id,000000000000005c
157,157,aIlNA_5S5QkGwi-kjxNhuwQ,Controller 157 - Park brake controller,SourceJ1708Id,000000000000005d
158,158,ControllerElectricalChargingSystemId,Controller 158 - Electrical charging system,SourceJ1708Id,000000000000005e
159,159,ControllerProximityDetectorFrontId,Controller 159 - Proximity detector front,SourceJ1708Id,000000000000005f
160,160,ControllerProximityDetectorRearId,Controller 160 - Proximity detector rear,SourceJ1708Id,0000000000000060
161,161,ControllerAerodynamicControlUnitId,Controller 161 - Aerodynamic control unit,SourceJ1708Id,0000000000000061
162,162,ControllerVehicleNavigationUnitId,Controller 162 - Vehicle navigation unit,SourceJ1708Id,0000000000000062
163,163,ControllerJ1708VehicleSecurityId,Controller 163 - Vehicle security,SourceJ1708Id,0000000000000063
164,164,ControllerMultiplexId,Controller 164 - Multiplex,SourceJ1708Id,0000000000000064
165,165,ControllerCommunicationUnitGroundId,Controller 165 - Communication unit-ground,SourceJ1708Id,0000000000000065
166,166,ControllerTiresPowerUnitId,Controller 166 - Tires power unit,SourceJ1708Id,0000000000000066
167,167,ControllerTiresTrailerId,Controller 167 - Tires trailer,SourceJ1708Id,0000000000000067
168,168,ControllerTiresTrailerNo2Id,Controller 168 - Tires trailer #2,SourceJ1708Id,0000000000000068
169,169,ControllerTiresTrailerNo3Id,Controller 169 - Tires trailer #3,SourceJ1708Id,0000000000000069
170,170,ControllerElectricalId,Controller 170 - Electrical,SourceJ1708Id,000000000000006a
171,171,ControllerDriverInformationCenterNo1Id,Controller 171 - Driver information center #1,SourceJ1708Id,000000000000006b
172,172,ControllerOffboardDiagnosticsNo1Id,Controller 172 - Off-board diagnostics #1,SourceJ1708Id,000000000000006c
