afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,engineHours,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,stopPoint,workDistance,workDrivingDuration,workStopDuration,device,driver,version,id
0.0,00:00:00,False,False,00:00:00,104.48145,101.29265,00:58:10.127000,5677920.0,00:00:02,False,159,2025-09-18 13:53:24.674000+00:00,22,00:15:09.491000,13,00:02:46.395999,1,00:00:22.164000,2025-09-18 12:27:10.873000+00:00,2025-09-18 13:25:21+00:00,00:28:03.674000,"{'x': -3.779689311981201, 'y': 38.023284912109375}",101.29265,00:58:10.127000,00:28:03.674000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001dbffa3,b13793C8
0.0,00:00:00,False,False,09:26:28,93.4009,23.773798,00:15:16.326000,5678836.326,00:00:00,False,120,2025-09-19 00:26:28+00:00,1,00:00:25.196000,0,00:00:00,0,00:00:00,2025-09-18 13:53:24.674000+00:00,2025-09-18 14:08:41+00:00,10:17:47,"{'x': -3.766029119491577, 'y': 37.8239631652832}",23.773798,00:15:16.326000,00:51:19,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001dd5480,b1383EA3
0.035291456,00:01:48,True,True,05:31:44,1.1763818,0.035291456,00:01:48,5678944.326,00:00:00,False,0,2025-09-19 09:28:33.101000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 00:26:28+00:00,2025-09-19 00:28:16+00:00,09:00:17.101000,"{'x': -3.744344711303711, 'y': 37.7506103515625}",0.0,00:00:00,03:28:33.101000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e0accc,b139EBD5
0.0,00:00:00,False,False,00:00:00,21.364792,6.129909,00:17:12.899000,5686560.0,00:00:03,False,72,2025-09-19 10:33:13.651000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 09:28:33.101000+00:00,2025-09-19 09:45:46+00:00,00:47:27.651000,"{'x': -3.7882728576660156, 'y': 37.76887130737305}",6.129909,00:17:12.898999,00:47:27.651000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e18b8c,b13A5B7E
0.0,00:00:00,False,False,00:00:00,10.071012,2.9243672,00:17:25.349000,5687640.0,00:00:04,False,52,2025-09-19 11:40:53.276000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 10:33:13.651000+00:00,2025-09-19 10:50:39+00:00,00:50:14.276000,"{'x': -3.793152093887329, 'y': 37.77466583251953}",2.9243672,00:17:25.349000,00:50:14.276000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e255b8,b13AC0E0
0.0,00:00:00,False,False,00:00:00,7.1333346,1.047657,00:08:48.724000,5688000.0,00:00:02,False,31,2025-09-19 11:56:59.586000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 11:40:53.276000+00:00,2025-09-19 11:49:42+00:00,00:07:17.586000,"{'x': -3.7906012535095215, 'y': 37.76718521118164}",1.047657,00:08:48.724000,00:07:17.586000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e28574,b13AD8CF
0.0,00:00:00,False,False,00:00:00,0.0,0.0,00:00:02.414000,5688754.414,00:12:32,False,0,2025-09-19 12:09:34+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 11:56:59.586000+00:00,2025-09-19 11:57:02+00:00,00:12:32,"{'x': -3.790611982345581, 'y': 37.767181396484375}",0.0,00:00:02.414000,00:12:32,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e2b392,b13AEFF1
0.0,00:00:00,False,False,00:00:00,7.6513257,0.9564157,00:07:30,5689402.414,00:03:18,False,29,2025-09-19 12:20:22+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 12:09:34+00:00,2025-09-19 12:17:04+00:00,00:03:18,"{'x': -3.793152093887329, 'y': 37.774559020996094}",0.9564157,00:07:30,00:03:18,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e2d890,b13B0278
0.0,00:00:00,False,False,00:00:00,0.0,0.0,00:00:26,5689440.0,00:00:05,False,0,2025-09-19 13:05:01.331000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 12:20:22+00:00,2025-09-19 12:20:48+00:00,00:44:13.331000,"{'x': -3.793152093887329, 'y': 37.774559020996094}",0.0,00:00:26,00:44:13.331000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e3573f,b13B41FC
0.0,00:00:00,False,False,04:18:20.270000,17.70915,6.1302633,00:20:46.189000,5690574.332,00:00:00,False,76,2025-09-19 19:18:20.270000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 13:05:01.331000+00:00,2025-09-19 13:25:47.520000+00:00,05:52:32.750000,"{'x': -3.7443952560424805, 'y': 37.750606536865234}",6.1302633,00:20:46.189000,01:34:12.479999,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e55402,b13C4102
6.7256107,00:13:38.730000,True,True,00:09:50,29.572874,6.7256107,00:13:38.730000,5691983.062,00:09:50,False,81,2025-09-19 19:41:49+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 19:18:20.270000+00:00,2025-09-19 19:31:59+00:00,00:09:50,"{'x': -3.7930359840393066, 'y': 37.774417877197266}",0.0,00:00:00,00:00:00,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e55874,b13C433C
0.09179593,1.23:54:52,True,True,00:00:00.895000,0.00191583,0.09179593,1.23:54:52,5864475.062,00:00:00,False,12,2025-09-21 19:36:41.895000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-19 19:41:49+00:00,2025-09-21 19:36:41+00:00,00:00:00.895000,"{'x': -3.7924747467041016, 'y': 37.774559020996094}",0.0,00:00:00,00:00:00,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e8ade0,b13DEEEA
9.626712,00:09:29.105000,True,True,10:13:49,60.8959,9.626712,00:09:29.105000,5701680.0,00:00:03,False,92,2025-09-22 06:17:13.477000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-21 19:36:41.895000+00:00,2025-09-21 19:46:11+00:00,10:31:02.477000,"{'x': -3.7931456565856934, 'y': 37.77467727661133}",0.0,00:00:00,00:17:13.477000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e91276,b13E2153
0.0,00:00:00,False,False,00:00:00,57.255676,31.085426,00:32:34.523000,5703840.0,00:00:20,False,129,2025-09-22 07:00:26.165000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-22 06:17:13.477000+00:00,2025-09-22 06:49:48+00:00,00:10:38.165000,"{'x': -3.7797114849090576, 'y': 38.02326965332031}",31.085426,00:32:34.523000,00:10:38.165000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e988e2,b13E5CB0
0.0,00:00:00,False,False,00:00:00,6.3044715,0.08026818,00:00:45.835000,5703840.0,00:00:02,False,20,2025-09-22 07:06:52.841000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-22 07:00:26.165000+00:00,2025-09-22 07:01:12+00:00,00:05:40.841000,"{'x': -3.7798068523406982, 'y': 38.02359390258789}",0.08026818,00:00:45.835000,00:05:40.841000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001e9a031,b13E685E
0.0,00:00:00,False,False,00:00:00,97.232445,42.381435,00:26:09.159000,5705280.0,00:00:02,False,125,2025-09-22 07:41:14.316000+00:00,2,00:01:19.028000,0,00:00:00,0,00:00:00,2025-09-22 07:06:52.841000+00:00,2025-09-22 07:33:02+00:00,00:08:12.316000,"{'x': -3.5703864097595215, 'y': 38.314388275146484}",42.381435,00:26:09.159000,00:08:12.316000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001ea25bc,b13EAB46
0.0,00:00:00,False,False,00:00:00,74.15909,98.98361,01:20:05.089000,5709960.0,00:00:00,False,125,2025-09-22 09:51:48.612000+00:00,2,00:01:29.946000,0,00:00:00,0,00:00:00,2025-09-22 07:41:14.316000+00:00,2025-09-22 09:01:19.405000+00:00,00:50:29.207000,"{'x': -4.107659816741943, 'y': 38.68638229370117}",98.98361,01:20:05.089000,00:50:29.207000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001eb9ea9,b13F6828
0.0,00:00:00,False,False,00:00:00,7.997226,0.9360931,00:07:01.388000,5710680.0,00:00:05,False,41,2025-09-22 10:01:05.280000+00:00,0,00:00:00,0,00:00:00,0,00:00:00,2025-09-22 09:51:48.612000+00:00,2025-09-22 09:58:50+00:00,00:02:15.280000,"{'x': -4.105879783630371, 'y': 38.68606185913086}",0.9360931,00:07:01.388000,00:02:15.280000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001ebae8e,b13F701F
0.0,00:00:00,False,False,00:00:00,62.719326,41.442142,00:39:38.720000,5713560.0,00:12:36,False,133,2025-09-22 11:43:05.557000+00:00,11,00:08:06.933000,2,00:00:21.082999,0,00:00:00,2025-09-22 10:01:05.280000+00:00,2025-09-22 10:40:44+00:00,01:02:21.557000,"{'x': -3.9309089183807373, 'y': 38.983245849609375}",41.442142,00:39:38.719999,01:02:21.557000,{'id': 'b103'},"{'id': 'b2FE', 'isDriver': True}",0000000001ec9b48,b13FE6D3
